 REP CMDT, CMDT Code, CMDT - Commodity
6100,610018,VACUUM WEAR; NOS
6100,610025,"JACKETS, NOS;"
6100,610026,"ROBES, NOS;"
6100,610027,"BUCKLE, NOS;"
6100,610028,"BELTS, NOS;"
6100,610029,"WALLET, NOS;"
6100,610030,"POCKET SQUARES, NOS;"
6100,610031,"SUSPENDERS, NOS;"
6100,610032,"SHIRT VALETS,  NOS;"
6100,610033,"CHILDRENWEAR,  NOS;"
6100,610034,"UNDERWEAR,  NOS;"
6100,610035,"INCONTINENCE PANTS,  NOS;"
6100,610036,"DISPOSABLE CLOATHING,  NOS;"
6100,610038,"SAFETY VESTS,  NOS;"
6100,610040,"BACK SUPPORT,  NOS;"
6100,610041,"WRIST & ELBOW SUPPORT,  NOS;"
6100,610042,"BACK RESTS,  NOS;"
6100,610043,"LAB COATS,  NOS;"
6100,610045,"WEARING APPARELS,  NOS;"
6100,610046,"GLOVES AND ACCESSORIES, NOS;"
6100,610047,"VESTS AND ACCESSORIES, NOS;"
6100,610048,"PACKS AND ACCESSORIES, NOS;"
6100,610049,"SWIM WEAR AND ACCESSORIES, NOS;"
6100,610050,"WOVEN POLYPROPHLENE (PP) CLOTH, NOS;"
6100,610900,"T-SHIRTS, COTTON, NOS"
6100,611000,"SWEATERS, NOS"
6100,611200,"NYLON WARM-UP SUITS, NOS"
6100,611601,"KNIT GLOVES, NOS"
6100,611602,"CANVAS WORK GLOVES, NOS"
6100,611603,"GOLF GLOVE, NOS"
6100,611701,"GLOVE LINERS, NOS"
6200,620000,"TEXTILE GOODS AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
6200,620001,"SWIMMING TRUNKS, NOS"
6200,620002,"POLYVINYL CHLORIDE RAINSUITS, NOS"
6200,620100,"RAINWEAR, NOS"
6200,620101,"PVC RAIN SUITS AND COATS, NOS"
6200,620300,"SUITS, NOS"
6200,620600,"SILK GARMENTS, NOS"
6200,620601,"CARDIGAN,NOS."
6200,621301,"BLOUSE,NOS"
6200,621302,"CASUAL WEAR, NOS"
6300,630000,"BLINDS & SHADES, OTHER TEXTILE ARTICLES; WORN, USED"
6300,630001,"MINI-BLINDS, NOS"
6300,630002,"BLINDS, PVC, NOS"
6300,630003,"VERTICAL BLINDS, NOS"
6300,630005,"SUN SHADES, NOS"
6300,630006,"FABRIC, POLY, POLAR FLEECE, NOS"
6300,630007,"TEXTILE GOODS, NOS"
6300,630008,"PIECE GOODS, COTTON, NOS"
6300,630009,"TEXTILE PIECE GOODS, NOS"
6300,630010,"HOSPITAL SUPPLIES, NOS:"
6300,630011,"RAGS, USED CLOTHING AND SCRAP CORDAGE; NOS"
6300,630012,"SHOWER CURTAINS, NOS"
6300,630013,"TEXTILE SCRAP, NOS"
6300,630014,"FABRIC SCRAP FOR RECYCLING, NOS"
6300,630100,"HOSPITAL BLANKETS, NOS"
6300,630200,"FABRICS AND YARNS, NOS"
6300,630201,"HOTEL LINENS, NOS"
6300,630400,"CAR SEAT COVER, TEXTILE, NOS"
6300,630500,"POLYPROPYLENE SACK, SLING, NOS"
6300,630501,"SPORT BAGS, DUFFEL BAGS, NOS"
6300,630502,"LUGGAGE CARRIER, JUTE, NOS"
6300,630503,"JUTE, BAGS, SHOPPING BAGS, NOS"
6300,630504,WOOVEN POLYPROPYLENE BAGS AND SHEETS; NOS
6300,630601,"TARPAULIN, NOS"
6300,630602,"BOAT COVER, NOS"
6300,630603,"TENTS AND TENT POLES, NOS"
6300,630622,NYLON FABRIC
6300,630623,CANOPY TOPS
6300,630700,CLEANING PADS FOR POLISHING AND BUFFING FLOOR MACHINES; NOS
6300,630701,"DUST CLOTH, NOS"
6300,630702,"FLOCK ADHESIVE CLOTH, NOS"
6300,630704,"COTTON AND BLENDED WOVEN TEXTILE PRODUCTS, NOS;"
6300,630705,"MUFFLER, NOS;"
6300,630707,"SCARF, NOS;"
6300,630708,"SHAWLS, NOS;"
6300,630709,"APRON, NOS;"
6300,630711,"NON WOVEN FABRIC, NOS;"
6300,630714,"DISPOSABLE EMBOSSED APRON, NOS;"
6300,630715,"HOLIDAY COSTUMES, NOS;"
6300,630716,"TYVEK CUT FABRIC, NOS;"
6300,630717,"TABLE CLOTH, NOS;"
6300,630718,"CURTAINS, NOS;"
6300,630719,"DRAPES, NOS;"
6300,630721,"MUFFS, NOS;"
6400,640000,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
6400,640001,"FOOTWEAR, NOS"
6400,640002,"SHOE LINER MATERIAL, NOS"
6400,640003,"BABY SHOES, NOS"
6400,640004,"FOOTWEAR COMPONENTS, NOS"
6400,640005,"FOOTWEAR ; INCLUDING SOCKS, NOS"
6400,640006,"SOCKS, NOS;"
6400,640007,"WORK SHOES, NOS;"
6400,640008,"BOOTS, NOS;"
6400,640009,"SHOEHORNS, NOS;"
6400,640010,"SHOELACE COVERS, NOS;"
6400,640011,"SHOE COVER, NOS;"
6400,640012,"FOOT CARE PRODUCTS, NOS;"
6400,640013,"ANIMAL SLIPPERS, NOS;"
6400,640014,"SHOES, NOS;"
6400,640015,"BICYCLE SHOES, NOS;"
6400,640016,"JUMPING SHOES, NOS;"
6400,640017,"HEAD CAPS, NOS;"
6400,640100,"RUBBER BOOTS, NOS"
6400,640300,"LEATHER FOOTWEAR, NOS"
6400,640401,"RUBBER SHOES, NOS"
6400,640402,"SPORTING SHOES, NOS"
6400,640403,"SNEAKER SHOES, NOS"
6400,640404,"SHOE UPPERS, NOS"
6400,640405,"PLASTIC SHOE SOLES, NOS"
6400,640500,"CANVAS SHOES, NOS"
6400,640502,"MEN'S WORK BOOTS, NOS"
6400,640503,SANDALS AND SLIPPERS; NOS
